Type,Title,Email,DateBorrow
Vbook,Hobbit,sth@gmail.com,2023-03-17
Pnews,Times,sth@gmail.com,2024-03-17
Pnews,Times,Visitor1@York.com,2024-03-18
Book,The Chronicles of the Rings,Visitor1@York.com,2023-03-19
Book,The Lords of the Ring,Visitor1@York.com,2023-03-20
Book,The Sovereign of the Rings,Visitor1@York.com,2023-03-21
Vbook,Hobbit,Visitor1@York.com,2024-03-19
CD,GTA,Visitor1@York.com,2024-03-18
Pnews,Times,Visitor1@York.com,2024-03-19
Vbook,Hobbit,sth@gmail.com,2024-03-19
Unews,WSJ,Visitor1@York.com,2024-03-19
Pnews,Times,Visitor1@York.com,2024-03-19
Book,The Sovereign of the Rings,something@gmail.com,2024-03-20
Vbook,Hobbit,something@gmail.com,2024-03-22
Pnews,Times,sth@gmail.com,2024-03-22
Pnews,Times,sth@gmail.com,2024-03-22
Magazine,The Economist,sth@gmail.com,2024-04-01
Magazine,The Economist,Visitor1@York.com,2024-04-01
CD,GTA,sth@gmail.com,2024-04-01
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Magazine,,null,model.LoginFailedException: hi!
Book,hi!,null,src/BorrowedItems.csv
Unews,src/Magazine.csv,null,src/Newsletter.csv
Book,src/Newsletter.csv,null,src/CD.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/CD.csv
Book,src/Newsletter.csv,null,src/CD.csv
Book,hi!,null,src/BorrowedItems.csv
Unews,src/Magazine.csv,null,src/Newsletter.csv
Book,src/Newsletter.csv,null,src/CD.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/VirtualBook.csv
Pnews,null,null,src/CD.csv
Book,src/Newsletter.csv,null,src/CD.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
Vbook,hi!,null,src/Book.csv
Book,hi!,null,src/Book.csv
Book,src/Magazine.csv,null,src/CD.csv
Vbook,hi!,,model.LoginFailedException: src/Magazine.csv
Vbook,hi!,null,src/Book.csv
