ID,email,password,Type
6313478,sth@gmail.com,123,Student
2601178,secondClient@York.com,pass1234,Faculty
3157471,ThirdClient@York.com,Pass,Student
2228272,ForthNonFaculty@York.com,Pass,Nonfaculty
5109188,Visitor1@York.com,Pass,Visitor
9864309,Visitor2@York.com,Pass,Visitor
9207666,Visitor3@York.com,Pass,Visitor
2300972,testStudent@gmail.com,123,Student
7560659,sdgfhasjdfh@sdhfbjfd.com,Qwer!234,Student
7472778,faculty@gmail.com,Qwer!234,Faculty Member
4589482,something@gmail.com,Qwer!234,Faculty Member
7395771,somwthing@gmail.com,Qwer!234,Faculty Member
8197464,test@gmail.com,Qwer!234,Faculty Member
2173194,uIa82XnBjRvl9vjN4hXxLW0Qp@gmail.com,Qwer!234,student
2215957,UOFNGj1NFR8S4JnubQIUi3dMv@gmail.com,Qwer!234,student
9074965,lAwGK3eYeP61jZpLHIYQMroym@gmail.com,Qwer!234,student
3315959,u83lbqLPlxsmGhe59w209tjC5@gmail.com,Qwer!234,student
5484054,EkcwVD4zxzfkaQ0XhdisDgMyO@gmail.com,Qwer!234,student
4718294,pYcSvY0lhnxBdhyElbZml308j@gmail.com,Qwer!234,student
5917596,jbDUoJ4dfn1Rmpj9AC7aZtrN2@gmail.com,Qwer!234,student
6577410,ebffedikouZ7xSQ64mVC8SUb8@gmail.com,Qwer!234,student
4602341,pRwMPJdbhRvwTzJcGNJRBokx8@gmail.com,Qwer!234,student
8555666,xG5rUeS0gahNoVrIUTeToPTdc@gmail.com,Qwer!234,student
9607427,thMORXXn0x1mbzDNIRWQu6X4t@gmail.com,Qwer!234,student
5336182,MxNrB2CsJKbeWqVEt8OhExiRc@gmail.com,Qwer!234,student
1111111,fYyqA7yecoKZxf1i6BO25OGOy@gmail.com,Qwer!234,student
5312174,KRzadTXYlWlFxEgBsaLkn122c@gmail.com,Qwer!234,student
8950889,s1YB4gTEvAchIe1ighEAXIq8H@gmail.com,Qwer!234,student
5663633,iLDi3jwYixNEfr68JfJhVrc8k@gmail.com,Qwer!234,student
4747494,FxCMbGeM2hg68LzwwgFXOxdh0@gmail.com,Qwer!234,student
7425823,8cbPTEUn20v5npkEYMjOle68i@gmail.com,Qwer!234,student
5594611,eCdpx6qkamUdsCAzvMfIly0dP@gmail.com,Qwer!234,student
2623518,B7Tio2OERQjb61CrKzBPkXtec@gmail.com,Qwer!234,student
2887049,NktZBmLmWwcxAUyz9iYHZ1rlU@gmail.com,Qwer!234,student
8090818,8orjy59NLOZUyhi9xjuhAMqT2@gmail.com,Qwer!234,student
9417867,qEx8Y8s34Q3mFgV5CsbvKLNMD@gmail.com,Qwer!234,student
7901088,8I5kyuzTjsOq5gEisUj3iwsTX@gmail.com,Qwer!234,student
7605796,KGJ8Te5ncPT62VByr266xk4QN@gmail.com,Qwer!234,student
9042484,,hi!,model.LoginFailedException: hi!
9670971,,hi!,model.LoginFailedException: hi!
9750356,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
7507820,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
9555771,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
1058540,src/CD.csv,src/Newsletter.csv,
5973984,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
8890999,src/CD.csv,src/Newsletter.csv,
9834657,src/CD.csv,src/Newsletter.csv,
9628883,src/Book.csv,src/Book.csv,src/Magazine.csv
3691079,src/Client.csv,src/CD.csv,src/Book.csv
7245811,,src/CD.csv,src/Book.csv
1985421,hi!,hi!,
7483189,model.LoginFailedException: src/BorrowedItems.csv,,src/VirtualBook.csv
4229929,src/CD.csv,model.RentingNotAllowedException: ,hi!
4942160,model.LoginFailedException: src/Magazine.csv,,model.LoginFailedException: src/Magazine.csv
2050080,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
6706437,model.RegistrationFailedException: src/Client.csv,model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: hi!
2091343,model.LoginFailedException: model.RentingNotAllowedException: src/Newsletter.csv,hi!,src/Newsletter.csv
2517494,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
5841206,src/Magazine.csv,,
8270900,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
9833280,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: src/CD.csv,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv
6384715,src/Magazine.csv,src/Book.csv,model.RegistrationFailedException: src/CD.csv
6130919,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
6071521,src/Magazine.csv,,
3264731,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
1273744,src/Book.csv,model.LoginFailedException: src/BorrowedItems.csv,src/Magazine.csv
2007002,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RentingNotAllowedException: ,model.LoginFailedException: src/BorrowedItems.csv
8683461,src/CD.csv,src/Newsletter.csv,
1249991,src/Newsletter.csv,src/Client.csv,src/Magazine.csv
1971225,src/Newsletter.csv,src/BorrowedItems.csv,model.LoginFailedException: src/BorrowedItems.csv
2800462,model.RegistrationFailedException: ,model.LoginFailedException: model.RentingNotAllowedException: ,src/VirtualBook.csv
7800952,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
6758647,src/Magazine.csv,,
4907529,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
8605117,src/CD.csv,src/Newsletter.csv,
9733928,src/Book.csv,src/Book.csv,src/Magazine.csv
4452402,src/Client.csv,src/CD.csv,src/Book.csv
2095185,,src/CD.csv,src/Book.csv
8155972,hi!,hi!,
9152653,model.LoginFailedException: src/BorrowedItems.csv,,src/VirtualBook.csv
8048523,src/CD.csv,model.RentingNotAllowedException: ,hi!
5537505,model.LoginFailedException: src/Magazine.csv,,model.LoginFailedException: src/Magazine.csv
4241656,src/CD.csv,src/Newsletter.csv,
1288521,src/Book.csv,src/Book.csv,src/Magazine.csv
9056806,src/Client.csv,src/CD.csv,src/Book.csv
7349296,,src/CD.csv,src/Book.csv
3238717,hi!,hi!,
8524128,model.LoginFailedException: src/BorrowedItems.csv,,src/VirtualBook.csv
9867015,src/CD.csv,model.RentingNotAllowedException: ,hi!
5822533,model.LoginFailedException: src/Magazine.csv,,model.LoginFailedException: src/Magazine.csv
2175737,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
4838507,src/CD.csv,src/Newsletter.csv,
5305009,src/Newsletter.csv,src/Client.csv,src/Magazine.csv
3809303,src/Newsletter.csv,src/BorrowedItems.csv,model.LoginFailedException: src/BorrowedItems.csv
2482317,model.RegistrationFailedException: ,model.LoginFailedException: model.RentingNotAllowedException: ,src/VirtualBook.csv
9118570,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
1965912,src/Magazine.csv,,
7387102,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
3847421,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RentingNotAllowedException: ,model.LoginFailedException: src/BorrowedItems.csv
3363542,model.RegistrationFailedException: src/Client.csv,model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: hi!
9267676,model.LoginFailedException: model.RentingNotAllowedException: src/Newsletter.csv,hi!,src/Newsletter.csv
4833457,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
1633533,src/Magazine.csv,,
8134280,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
7567626,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: src/CD.csv,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv
9829890,src/Magazine.csv,src/Book.csv,model.RegistrationFailedException: src/CD.csv
8188483,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
4702444,src/Magazine.csv,,
4894093,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
5783107,src/Book.csv,model.LoginFailedException: src/BorrowedItems.csv,src/Magazine.csv
8132160,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
4570160,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
9061370,src/CD.csv,src/Newsletter.csv,
1390479,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
1294277,src/CD.csv,src/Newsletter.csv,
3339069,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
9396612,src/CD.csv,src/Newsletter.csv,
7489338,,model.LoginFailedException: src/Magazine.csv,src/BorrowedItems.csv
3099712,src/CD.csv,src/Newsletter.csv,
4416440,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RentingNotAllowedException: ,model.LoginFailedException: src/BorrowedItems.csv
5646029,model.RegistrationFailedException: src/Client.csv,model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: hi!
9629994,model.LoginFailedException: model.RentingNotAllowedException: src/Newsletter.csv,hi!,src/Newsletter.csv
6894457,model.RentingNotAllowedException: src/Newsletter.csv,model.RegistrationFailedException: ,src/VirtualBook.csv
7083147,src/Magazine.csv,,
5314567,model.RentingNotAllowedException: src/Newsletter.csv,src/Newsletter.csv,src/BorrowedItems.csv
3731491,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv,model.RegistrationFailedException: src/CD.csv,model.LoginFailedException: model.RegistrationFailedException: src/CD.csv
