Type,Title,Email,DateBorrow
Vbook,Hobbit,sth@gmail.com,2023-03-17
Pnews,Times,Visitor1@York.com,2024-03-18
Book,The Chronicles of the Rings,Visitor1@York.com,2023-03-19
Book,The Lords of the Ring,Visitor1@York.com,2023-03-20
Book,The Sovereign of the Rings,Visitor1@York.com,2023-03-21
Vbook,Hobbit,Visitor1@York.com,2024-03-19
CD,GTA,Visitor1@York.com,2024-03-18
Pnews,Times,Visitor1@York.com,2024-03-19
Vbook,Hobbit,sth@gmail.com,2024-03-19
Unews,WSJ,Visitor1@York.com,2024-03-19
Pnews,Times,Visitor1@York.com,2024-03-19
Book,The Sovereign of the Rings,something@gmail.com,2024-03-20
Vbook,Hobbit,something@gmail.com,2024-03-22
Magazine,The Economist,Visitor1@York.com,2024-04-01
Book,Lord of Rings,sth@gmail.com,2024-04-08
