ID,email,password,Type
6313478,sth@gmail.com,123,Student
2601178,secondClient@York.com,pass1234,Faculty
3157471,ThirdClient@York.com,Pass,Student
2228272,ForthNonFaculty@York.com,Pass,Nonfaculty
5109188,Visitor1@York.com,Pass,Visitor
9864309,Visitor2@York.com,Pass,Visitor
9207666,Visitor3@York.com,Pass,Visitor
2300972,testStudent@gmail.com,123,Student
7560659,sdgfhasjdfh@sdhfbjfd.com,Qwer!234,Student
7472778,faculty@gmail.com,Qwer!234,Faculty Member
4589482,something@gmail.com,Qwer!234,Faculty Member
7395771,somwthing@gmail.com,Qwer!234,Faculty Member
8197464,test@gmail.com,Qwer!234,Faculty Member
2173194,uIa82XnBjRvl9vjN4hXxLW0Qp@gmail.com,Qwer!234,student
2215957,UOFNGj1NFR8S4JnubQIUi3dMv@gmail.com,Qwer!234,student
9074965,lAwGK3eYeP61jZpLHIYQMroym@gmail.com,Qwer!234,student
3315959,u83lbqLPlxsmGhe59w209tjC5@gmail.com,Qwer!234,student
5484054,EkcwVD4zxzfkaQ0XhdisDgMyO@gmail.com,Qwer!234,student
4718294,pYcSvY0lhnxBdhyElbZml308j@gmail.com,Qwer!234,student
5917596,jbDUoJ4dfn1Rmpj9AC7aZtrN2@gmail.com,Qwer!234,student
6577410,ebffedikouZ7xSQ64mVC8SUb8@gmail.com,Qwer!234,student
4602341,pRwMPJdbhRvwTzJcGNJRBokx8@gmail.com,Qwer!234,student
8555666,xG5rUeS0gahNoVrIUTeToPTdc@gmail.com,Qwer!234,student
9607427,thMORXXn0x1mbzDNIRWQu6X4t@gmail.com,Qwer!234,student
5336182,MxNrB2CsJKbeWqVEt8OhExiRc@gmail.com,Qwer!234,student
1111111,fYyqA7yecoKZxf1i6BO25OGOy@gmail.com,Qwer!234,student
5312174,KRzadTXYlWlFxEgBsaLkn122c@gmail.com,Qwer!234,student
8950889,s1YB4gTEvAchIe1ighEAXIq8H@gmail.com,Qwer!234,student
5663633,iLDi3jwYixNEfr68JfJhVrc8k@gmail.com,Qwer!234,student
4747494,FxCMbGeM2hg68LzwwgFXOxdh0@gmail.com,Qwer!234,student
7425823,8cbPTEUn20v5npkEYMjOle68i@gmail.com,Qwer!234,student
5594611,eCdpx6qkamUdsCAzvMfIly0dP@gmail.com,Qwer!234,student
2623518,B7Tio2OERQjb61CrKzBPkXtec@gmail.com,Qwer!234,student
2887049,NktZBmLmWwcxAUyz9iYHZ1rlU@gmail.com,Qwer!234,student
8090818,8orjy59NLOZUyhi9xjuhAMqT2@gmail.com,Qwer!234,student
9417867,qEx8Y8s34Q3mFgV5CsbvKLNMD@gmail.com,Qwer!234,student
1488735,fail@client.com,password123,User
3221039,BdZ1JfNsb25y4nDtE0ehnX5y9@gmail.com,Qwer!234,student
9683161,format@client.com,password123,User
2648435,new@client.com,password123,User
9126476,fail@client.com,password123,User
3252242,GDZL5X05g1mtVirGsioWnybaD@gmail.com,Qwer!234,student
4720788,format@client.com,password123,User
3634278,new@client.com,password123,User
3778886,fail@client.com,password123,User
9799251,PATklqueov6QvRDUjmJocg4pb@gmail.com,Qwer!234,student
4836421,format@client.com,password123,User
5947394,new@client.com,password123,User
5536903,fail@client.com,password123,User
2967009,QrKJeZXy4sMHkByWlBzp5YIL6@gmail.com,Qwer!234,student
4056722,format@client.com,password123,User
6860844,new@client.com,password123,User
6857052,fail@client.com,password123,User
8292049,ug4p2N0jXUhns1lT3PYs34o1X@gmail.com,Qwer!234,student
8707674,format@client.com,password123,User
6362670,fail@client.com,password123,User
1596092,GrhiXQgveEhxgFaMdfKOlSCoU@gmail.com,Qwer!234,student
1506084,format@client.com,password123,User
9346236,new@client.com,password123,User
6043409,fail@client.com,password123,User
4453897,reQEfpFbMUjFeskMDhqbWE03M@gmail.com,Qwer!234,student
8835726,format@client.com,password123,User
3722644,new@client.com,password123,User
6156098,fail@client.com,password123,User
7792636,QEr3u9vVoW0bpEbiXDR9LzK5r@gmail.com,Qwer!234,student
7860273,format@client.com,password123,User
7296888,new@client.com,password123,User
6313259,fail@client.com,password123,User
6790551,btMQVGg0vXwZEo1yu0AqQUyBx@gmail.com,Qwer!234,student
8988485,format@client.com,password123,User
7907146,new@client.com,password123,User
2641294,fail@client.com,password123,User
9338829,hqyViJcSC7QNry4DnxaoSTqKg@gmail.com,Qwer!234,student
9776897,format@client.com,password123,User
7292801,new@client.com,password123,User
6186686,fail@client.com,password123,User
5480141,TjznbUfEtYuO2oSFTqJJysizG@gmail.com,Qwer!234,student
1747516,format@client.com,password123,User
5165337,new@client.com,password123,User
7304133,fail@client.com,password123,User
7582504,WGAwQa8WlVDHmEK5I0Gjl4wDF@gmail.com,Qwer!234,student
7280546,format@client.com,password123,User
3042032,new@client.com,password123,User
5697010,fail@client.com,password123,User
7879506,bbtN7UUbzga86ywazAz87Rzbi@gmail.com,Qwer!234,student
9160674,format@client.com,password123,User
9080225,new@client.com,password123,User
2147128,fail@client.com,password123,User
3445167,UXMaq0lXMnxppXYvkxtWAJkbz@gmail.com,Qwer!234,student
7471312,format@client.com,password123,User
3436882,new@client.com,password123,User
3334667,fail@client.com,password123,User
6447215,RHxrn1TSKJosyiWyLaeO9tJV1@gmail.com,Qwer!234,student
4118081,format@client.com,password123,User
5259545,new@client.com,password123,User
8922869,fail@client.com,password123,User
1362661,8JdslZXw3WbktczxWD9KGD6Za@gmail.com,Qwer!234,student
9214151,format@client.com,password123,User
3278609,new@client.com,password123,User
1928166,fail@client.com,password123,User
3195697,bVqHjkclF6TzxLIncuAuyBHC9@gmail.com,Qwer!234,student
7361559,format@client.com,password123,User
3981725,new@client.com,password123,User
